Price ID,Product Name,Product Statement Descriptor,Product Tax Code,Description,Interval,Interval Count,Usage Type,Tax Behavior
price_1P09ZvLJkZ8mI1nvW2KqUNA6,"Monster Patrol, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZuLJkZ8mI1nvDrwOqkzi,"Monster Patrol, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZtLJkZ8mI1nvhpEPOrLK,"Monster Patrol, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZtLJkZ8mI1nvpHScazvI,"Monster Patrol, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZsLJkZ8mI1nvCxexaon2,"Monster Patrol, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZrLJkZ8mI1nv43QmQOKD,"Monster Patrol, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09ZrLJkZ8mI1nvMo0zkfq4,"Monster Patrol, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09ZqLJkZ8mI1nv9D0aqqcz,"Monster Patrol, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZpLJkZ8mI1nvMc1TfOnB,"Monster Patrol, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZoLJkZ8mI1nvqFxwP0UK,"Monster Patrol, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZoLJkZ8mI1nvrtlnfySt,"Monster Patrol, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZnLJkZ8mI1nvWY9s6ovs,"Monster Patrol, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZmLJkZ8mI1nvX9uXrNBT,"Mouse Patrol, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZmLJkZ8mI1nvJjJE93K7,"Mouse Patrol, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZlLJkZ8mI1nv3lceQD5Q,"Mouse Patrol, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZkLJkZ8mI1nvjtzfwCDe,"Mouse Patrol, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZjLJkZ8mI1nvmLULdXJZ,"Mouse Patrol, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZjLJkZ8mI1nvf9T2yXuH,"Mouse Patrol, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZiLJkZ8mI1nv0pxU9VDD,"Mouse Patrol, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZhLJkZ8mI1nvDCSfFG5k,"Mouse Patrol, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZhLJkZ8mI1nv1gVyqmqX,"Mouse Patrol, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09ZgLJkZ8mI1nvKxhyWYzM,"Mouse Patrol, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09ZfLJkZ8mI1nvFBNt7sRa,"Mouse Patrol, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZeLJkZ8mI1nvDD1OUyQR,"Mouse Patrol, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZeLJkZ8mI1nvjJLs7ivb,"Mouse Patrol, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZdLJkZ8mI1nvqDgdgZMX,"Mouse Patrol, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZcLJkZ8mI1nvlUfieZpY,"Mouse Patrol, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZbLJkZ8mI1nv17MsGreg,"Christmas Vine, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZbLJkZ8mI1nvIwQCp1JG,"Christmas Vine, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZaLJkZ8mI1nvpIgq6wi4,"Christmas Vine, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZZLJkZ8mI1nvOIYBvIzt,"Christmas Vine, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZZLJkZ8mI1nvcsUPtHwm,"Christmas Vine, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZYLJkZ8mI1nv902XaaME,"Christmas Vine, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZXLJkZ8mI1nvjB9E9FjJ,"Christmas Vine, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZXLJkZ8mI1nvpthmlV41,"Christmas Vine, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZWLJkZ8mI1nvrgVF0kUo,"Christmas Vine, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09ZVLJkZ8mI1nvjWGC7zKF,"Christmas Vine, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09ZULJkZ8mI1nvNflh9CHk,"Christmas Vine, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZULJkZ8mI1nvqhETPztg,"Christmas Vine, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZTLJkZ8mI1nvii8XrWeQ,"Christmas Vine, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZSLJkZ8mI1nv0n9KX5LM,"Christmas Vine, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZRLJkZ8mI1nvut86bAiD,"Christmas Vine, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZRLJkZ8mI1nvtwktvgRA,"Ice Follies, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZQLJkZ8mI1nvcwGQnHqu,"Ice Follies, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZPLJkZ8mI1nveb6nfOLD,"Ice Follies, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZOLJkZ8mI1nva38qxb42,"Ice Follies, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZOLJkZ8mI1nvvCWumIho,"Ice Follies, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZNLJkZ8mI1nvn7nFqK7s,"Ice Follies, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZMLJkZ8mI1nvDjlrl3Fk,"Ice Follies, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZMLJkZ8mI1nvpWQLGThp,"Ice Follies, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZLLJkZ8mI1nvny1nAfe0,"Ice Follies, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09ZKLJkZ8mI1nvQGXSvydR,"Ice Follies, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09ZJLJkZ8mI1nvA5A4oNZq,"Ice Follies, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZJLJkZ8mI1nvTv3U707I,"Ice Follies, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZILJkZ8mI1nvnBzAqCQD,"Ice Follies, EU 19 (US 3.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZHLJkZ8mI1nvV8rx5FIy,"Ice Follies, EU 18 (US 2.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZGLJkZ8mI1nv8WlTdvjT,"Ice Follies, EU 17 (US 2 Baby/Kid)",,,,,,,unspecified
price_1P09ZGLJkZ8mI1nvXriivlIV,"Red Laser, EU 31 (US 13 Baby/Kid)",,,,,,,unspecified
price_1P09ZFLJkZ8mI1nvnedn6Pfw,"Red Laser, EU 30 (US 12 Baby/Kid)",,,,,,,unspecified
price_1P09ZELJkZ8mI1nvOedgVJUW,"Red Laser, EU 29 (US 11.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZELJkZ8mI1nvhpJFpBbm,"Red Laser, EU 28 (US 11 Baby/Kid)",,,,,,,unspecified
price_1P09ZDLJkZ8mI1nvcpRtXCzZ,"Red Laser, EU 27 (US 10 Baby/Kid)",,,,,,,unspecified
price_1P09ZCLJkZ8mI1nvPK7S5pyt,"Red Laser, EU 26 (US 9.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZBLJkZ8mI1nvbeUZWkbX,"Red Laser, EU 25 (US 8.5 Baby/Kid)",,,,,,,unspecified
price_1P09ZBLJkZ8mI1nvOYEjqIe5,"Red Laser, EU 24 (US 8 Baby/Kid)",,,,,,,unspecified
price_1P09ZALJkZ8mI1nvWArJ4jRc,"Red Laser, EU 23 (US 7 Baby/Kid)",,,,,,,unspecified
price_1P09Z9LJkZ8mI1nvz7VvUyrb,"Red Laser, EU 22 (US 6 Baby/Kid)",,,,,,,unspecified
price_1P09Z8LJkZ8mI1nvLiRMrUPC,"Red Laser, EU 21 (US 5.5 Baby/Kid)",,,,,,,unspecified
price_1P09Z8LJkZ8mI1nvXI9lvvgT,"Red Laser, EU 20 (US 4.5 Baby/Kid)",,,,,,,unspecified
